song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
America: What Time Is Love?,The KLF,5ZV4ooH5tknUfssVDTMagM,33,0.358,0.972,5.0,-4.395,0.0,0.189,0.00323,0.000474,0.707,0.0991,123.055,audio_features,5ZV4ooH5tknUfssVDTMagM,spotify:track:5ZV4ooH5tknUfssVDTMagM,https://api.spotify.com/v1/tracks/5ZV4ooH5tknUfssVDTMagM,https://api.spotify.com/v1/audio-analysis/5ZV4ooH5tknUfssVDTMagM,247263.0,4.0
The Whole of the Moon,The Waterboys,11zWfCQaGkXJ9uIXROr4pa,4,0.538,0.852,0.0,-5.68,1.0,0.0321,0.071,3.95e-06,0.602,0.597,105.664,audio_features,11zWfCQaGkXJ9uIXROr4pa,spotify:track:11zWfCQaGkXJ9uIXROr4pa,https://api.spotify.com/v1/tracks/11zWfCQaGkXJ9uIXROr4pa,https://api.spotify.com/v1/audio-analysis/11zWfCQaGkXJ9uIXROr4pa,299413.0,4.0
Sowing The Seeds Of Love,Tears For Fears,2zOzjqz8edrrTya5xek7By,29,0.318,0.867,5.0,-4.019,1.0,0.0396,0.0123,1.61e-05,0.329,0.63,87.015,audio_features,2zOzjqz8edrrTya5xek7By,spotify:track:2zOzjqz8edrrTya5xek7By,https://api.spotify.com/v1/tracks/2zOzjqz8edrrTya5xek7By,https://api.spotify.com/v1/audio-analysis/2zOzjqz8edrrTya5xek7By,377613.0,4.0
You Can't Always Get What You Want - Mono Version,The Rolling Stones,7C8AwK5pFTrcB34IUmuzXc,0,0.282,0.68,0.0,-8.6,1.0,0.0823,0.49,6.51e-05,0.093,0.518,175.796,audio_features,7C8AwK5pFTrcB34IUmuzXc,spotify:track:7C8AwK5pFTrcB34IUmuzXc,https://api.spotify.com/v1/tracks/7C8AwK5pFTrcB34IUmuzXc,https://api.spotify.com/v1/audio-analysis/7C8AwK5pFTrcB34IUmuzXc,289373.0,4.0
The Size Of A Cow,The Wonder Stuff,5AxrGtSF6tymFMNsyiwx2O,0,0.504,0.878,2.0,-6.94,1.0,0.0316,0.0258,0.00537,0.0418,0.923,149.107,audio_features,5AxrGtSF6tymFMNsyiwx2O,spotify:track:5AxrGtSF6tymFMNsyiwx2O,https://api.spotify.com/v1/tracks/5AxrGtSF6tymFMNsyiwx2O,https://api.spotify.com/v1/audio-analysis/5AxrGtSF6tymFMNsyiwx2O,193107.0,4.0
Drama!,Erasure,4qoD4lYwhiWHO6wPbcVLHi,0,0.574,0.783,2.0,-10.235,1.0,0.0344,0.00375,0.00238,0.474,0.45,124.21,audio_features,4qoD4lYwhiWHO6wPbcVLHi,spotify:track:4qoD4lYwhiWHO6wPbcVLHi,https://api.spotify.com/v1/tracks/4qoD4lYwhiWHO6wPbcVLHi,https://api.spotify.com/v1/audio-analysis/4qoD4lYwhiWHO6wPbcVLHi,244867.0,4.0
A Day In The Life - Remastered,The Beatles,3ZFBeIyP41HhnALjxWy1pR,0,0.364,0.457,4.0,-14.162,0.0,0.0675,0.29,0.000106,0.922,0.175,163.219,audio_features,3ZFBeIyP41HhnALjxWy1pR,spotify:track:3ZFBeIyP41HhnALjxWy1pR,https://api.spotify.com/v1/tracks/3ZFBeIyP41HhnALjxWy1pR,https://api.spotify.com/v1/audio-analysis/3ZFBeIyP41HhnALjxWy1pR,337413.0,4.0
Supermassive Black Hole,Muse,3lPr8ghNDBLc2uZovNyLs9,80,0.668,0.921,7.0,-3.727,1.0,0.0439,0.0492,0.00517,0.0877,0.782,120.0,audio_features,3lPr8ghNDBLc2uZovNyLs9,spotify:track:3lPr8ghNDBLc2uZovNyLs9,https://api.spotify.com/v1/tracks/3lPr8ghNDBLc2uZovNyLs9,https://api.spotify.com/v1/audio-analysis/3lPr8ghNDBLc2uZovNyLs9,212440.0,4.0
It's a Sin,Pet Shop Boys,3GNwCZIv4xKUiyoaQfj9Ah,57,0.529,0.715,0.0,-11.419,0.0,0.0431,0.0925,0.000614,0.168,0.352,127.17,audio_features,3GNwCZIv4xKUiyoaQfj9Ah,spotify:track:3GNwCZIv4xKUiyoaQfj9Ah,https://api.spotify.com/v1/tracks/3GNwCZIv4xKUiyoaQfj9Ah,https://api.spotify.com/v1/audio-analysis/3GNwCZIv4xKUiyoaQfj9Ah,301293.0,4.0
I Am The Walrus - Remastered,The Beatles,4qmvOVUt7U8szKXspAoLVy,0,0.401,0.556,2.0,-10.532,1.0,0.0513,0.0828,0.000359,0.589,0.654,85.206,audio_features,4qmvOVUt7U8szKXspAoLVy,spotify:track:4qmvOVUt7U8szKXspAoLVy,https://api.spotify.com/v1/tracks/4qmvOVUt7U8szKXspAoLVy,https://api.spotify.com/v1/audio-analysis/4qmvOVUt7U8szKXspAoLVy,275867.0,4.0
Remember (Walkin' In The Sand),The Shangri-Las,4t1MwHt0wd3ZUZplwriwr9,0,0.497,0.53,7.0,-9.571,0.0,0.0362,0.763,0.085,0.268,0.393,66.21,audio_features,4t1MwHt0wd3ZUZplwriwr9,spotify:track:4t1MwHt0wd3ZUZplwriwr9,https://api.spotify.com/v1/tracks/4t1MwHt0wd3ZUZplwriwr9,https://api.spotify.com/v1/audio-analysis/4t1MwHt0wd3ZUZplwriwr9,138133.0,4.0
Left to My Own Devices - 2001 Remaster,Pet Shop Boys,6LyUx9Er3DBp0kXy7qQIMs,0,0.621,0.882,7.0,-6.05,1.0,0.0303,0.000255,0.24,0.197,0.386,126.811,audio_features,6LyUx9Er3DBp0kXy7qQIMs,spotify:track:6LyUx9Er3DBp0kXy7qQIMs,https://api.spotify.com/v1/tracks/6LyUx9Er3DBp0kXy7qQIMs,https://api.spotify.com/v1/audio-analysis/6LyUx9Er3DBp0kXy7qQIMs,497040.0,4.0
"Hold Me, Thrill Me, Kiss Me, Kill Me - From 'Batman Forever'",U2,4bIwOXjK9XhSciQNhBiu3Q,38,0.368,0.849,10.0,-6.973,0.0,0.0417,7.7e-05,0.276,0.167,0.377,171.661,audio_features,4bIwOXjK9XhSciQNhBiu3Q,spotify:track:4bIwOXjK9XhSciQNhBiu3Q,https://api.spotify.com/v1/tracks/4bIwOXjK9XhSciQNhBiu3Q,https://api.spotify.com/v1/audio-analysis/4bIwOXjK9XhSciQNhBiu3Q,286840.0,4.0
